"restaurant","cuisine_type","WeekendOrWeekday","order_id","cost","rating","prep_time","delivery_time"
"Blue Ribbon Sushi","Japanese","Weekday",202,29.15,NA,26,24
"Blue Ribbon Sushi","Japanese","Weekday",203,16.01,4,23,31
"Blue Ribbon Sushi","Japanese","Weekday",204,17.08,5,35,29
"Blue Ribbon Sushi","Japanese","Weekday",205,16.06,NA,34,33
"Blue Ribbon Sushi","Japanese","Weekday",206,19.45,NA,22,27
"Blue Ribbon Sushi","Japanese","Weekday",207,19.45,NA,28,28
"Blue Ribbon Sushi","Japanese","Weekday",208,32.93,3,34,31
"Blue Ribbon Sushi","Japanese","Weekday",209,6.79,5,21,29
"Blue Ribbon Sushi","Japanese","Weekday",210,8.54,4,22,26
"Blue Ribbon Sushi","Japanese","Weekday",211,12.9,3,25,31
"Blue Ribbon Sushi","Japanese","Weekday",212,12.32,NA,29,27
"Blue Ribbon Sushi","Japanese","Weekday",213,9.75,5,27,27
"Blue Ribbon Sushi","Japanese","Weekday",214,13,5,22,31
"Blue Ribbon Sushi","Japanese","Weekday",215,11.3,NA,24,24
"Blue Ribbon Sushi","Japanese","Weekend",216,19.4,5,24,25
"Blue Ribbon Sushi","Japanese","Weekend",217,12.18,5,28,25
"Blue Ribbon Sushi","Japanese","Weekend",218,12.13,3,24,23
"Blue Ribbon Sushi","Japanese","Weekend",219,16.11,5,22,26
"Blue Ribbon Sushi","Japanese","Weekend",220,9.41,5,24,18
"Blue Ribbon Sushi","Japanese","Weekend",221,16.44,5,30,29
"Blue Ribbon Sushi","Japanese","Weekend",222,12.18,5,34,29
"Blue Ribbon Sushi","Japanese","Weekend",223,29.68,3,26,30
"Blue Ribbon Sushi","Japanese","Weekend",224,12.13,5,31,29
"Blue Ribbon Sushi","Japanese","Weekend",225,8.1,5,35,18
"Blue Ribbon Sushi","Japanese","Weekend",226,16.93,4,30,25
"Blue Ribbon Sushi","Japanese","Weekend",227,25.27,3,20,20
"Blue Ribbon Sushi","Japanese","Weekend",228,12.08,4,33,22
"Blue Ribbon Sushi","Japanese","Weekend",229,5.82,NA,34,27
"Blue Ribbon Sushi","Japanese","Weekend",230,14.5,NA,28,28
"Blue Ribbon Sushi","Japanese","Weekend",231,16.44,NA,22,18
"Blue Ribbon Sushi","Japanese","Weekend",232,17.07,4,27,15
"Blue Ribbon Sushi","Japanese","Weekend",233,16.2,4,35,26
"Blue Ribbon Sushi","Japanese","Weekend",234,31.38,NA,26,27
"Blue Ribbon Sushi","Japanese","Weekend",235,8.54,5,34,25
"Blue Ribbon Sushi","Japanese","Weekend",236,12.08,5,31,16
"Blue Ribbon Sushi","Japanese","Weekend",237,16.49,3,24,30
"Blue Ribbon Sushi","Japanese","Weekend",238,12.23,3,33,21
"Blue Ribbon Sushi","Japanese","Weekend",239,15.86,NA,33,15
"Blue Ribbon Sushi","Japanese","Weekend",240,11.93,3,24,21
"Blue Ribbon Sushi","Japanese","Weekend",241,11.59,4,22,18
"Blue Ribbon Sushi","Japanese","Weekend",242,13.87,NA,28,28
"Blue Ribbon Sushi","Japanese","Weekend",243,29.1,5,20,16
"Blue Ribbon Sushi","Japanese","Weekend",244,12.13,4,35,28
"Blue Ribbon Sushi","Japanese","Weekend",245,9.85,3,24,15
"Blue Ribbon Sushi","Japanese","Weekend",246,6.74,5,22,29
"Blue Ribbon Sushi","Japanese","Weekend",247,15.76,NA,30,26
"Blue Ribbon Sushi","Japanese","Weekend",248,6.64,NA,23,15
"Blue Ribbon Sushi","Japanese","Weekend",249,24.25,4,24,23
"Blue Ribbon Sushi","Japanese","Weekend",250,5.97,3,31,30
"Blue Ribbon Sushi","Japanese","Weekend",251,22.07,4,33,15
"Blue Ribbon Sushi","Japanese","Weekend",252,12.13,5,28,15
"Blue Ribbon Sushi","Japanese","Weekend",253,16.06,NA,24,21
"Blue Ribbon Sushi","Japanese","Weekend",254,8.54,5,34,29
"Blue Ribbon Sushi","Japanese","Weekend",255,12.56,NA,32,20
"Blue Ribbon Sushi","Japanese","Weekend",256,19.45,NA,28,24
"Blue Ribbon Sushi","Japanese","Weekend",257,6.84,4,20,30
"Blue Ribbon Sushi","Japanese","Weekend",258,13,5,34,15
"Blue Ribbon Sushi","Japanese","Weekend",259,24.35,5,33,22
"Blue Ribbon Sushi","Japanese","Weekend",260,16.1,3,26,17
"Blue Ribbon Sushi","Japanese","Weekend",261,24.2,4,29,18
"Blue Ribbon Sushi","Japanese","Weekend",262,12.95,5,25,16
"Blue Ribbon Sushi","Japanese","Weekend",263,9.17,NA,27,29
"Blue Ribbon Sushi","Japanese","Weekend",264,18.04,NA,35,28
"Blue Ribbon Sushi","Japanese","Weekend",265,19.35,5,26,23
"Blue Ribbon Sushi","Japanese","Weekend",266,6.74,4,22,28
"Blue Ribbon Sushi","Japanese","Weekend",267,11.83,4,26,21
"Blue Ribbon Sushi","Japanese","Weekend",268,29.15,4,31,19
"Blue Ribbon Sushi","Japanese","Weekend",269,6.74,NA,31,27
"Blue Ribbon Sushi","Japanese","Weekend",270,29.1,4,21,15
"Blue Ribbon Sushi","Japanese","Weekend",271,9.32,4,32,18
"Blue Ribbon Sushi","Japanese","Weekend",272,6.69,NA,35,26
"Blue Ribbon Sushi","Japanese","Weekend",273,11.59,NA,26,23
"Blue Ribbon Sushi","Japanese","Weekend",274,9.17,3,25,28
"Blue Ribbon Sushi","Japanese","Weekend",275,12.18,4,30,17
"Blue Ribbon Sushi","Japanese","Weekend",276,12.13,5,30,28
"Blue Ribbon Sushi","Japanese","Weekend",277,11.69,NA,28,29
"Blue Ribbon Sushi","Japanese","Weekend",278,29.2,NA,22,25
"Blue Ribbon Sushi","Japanese","Weekend",279,29.25,NA,33,17
"Blue Ribbon Sushi","Japanese","Weekend",280,8.68,5,34,27
"Blue Ribbon Sushi","Japanese","Weekend",281,12.23,NA,20,24
"Blue Ribbon Sushi","Japanese","Weekend",282,31.43,5,24,17
"Blue Ribbon Sushi","Japanese","Weekend",283,12.95,NA,22,23
"Blue Ribbon Sushi","Japanese","Weekend",284,14.02,4,23,18
"Blue Ribbon Sushi","Japanese","Weekend",285,29.25,NA,22,27
"Blue Ribbon Sushi","Japanese","Weekend",286,24.3,NA,29,15
"Blue Ribbon Sushi","Japanese","Weekend",287,13.78,4,32,23
"Blue Ribbon Sushi","Japanese","Weekend",288,16.01,NA,29,22
"Blue Ribbon Sushi","Japanese","Weekend",289,16.15,3,23,21
"Blue Ribbon Sushi","Japanese","Weekend",290,24.25,5,35,16
"Blue Ribbon Sushi","Japanese","Weekend",291,12.23,4,29,22
"Blue Ribbon Sushi","Japanese","Weekend",292,12.22,NA,34,28
"Blue Ribbon Sushi","Japanese","Weekend",293,24.3,5,32,28
"Blue Ribbon Sushi","Japanese","Weekend",294,14.02,NA,35,16
"Blue Ribbon Sushi","Japanese","Weekend",295,12.18,4,27,16
"Blue Ribbon Sushi","Japanese","Weekend",296,17.85,NA,28,18
"Blue Ribbon Sushi","Japanese","Weekend",297,12.13,5,26,17
"Blue Ribbon Sushi","Japanese","Weekend",298,24.3,4,35,18
"Blue Ribbon Sushi","Japanese","Weekend",299,19.4,5,26,17
"Blue Ribbon Sushi","Japanese","Weekend",300,8.83,4,20,19
"Blue Ribbon Sushi Bar & Grill","Japanese","Weekday",301,12.08,5,29,24
"Blue Ribbon Sushi Bar & Grill","Japanese","Weekday",302,16.2,5,27,27
"Blue Ribbon Sushi Bar & Grill","Japanese","Weekday",303,6.02,NA,29,25
"Blue Ribbon Sushi Bar & Grill","Japanese","Weekday",304,19.45,5,34,27
"Blue Ribbon Sushi Bar & Grill","Japanese","Weekday",305,22.26,NA,20,26
"Blue Ribbon Sushi Bar & Grill","Japanese","Weekday",306,15.28,NA,24,29
"Blue Ribbon Sushi Bar & Grill","Japanese","Weekday",307,12.56,NA,32,27
"Blue Ribbon Sushi Bar & Grill","Japanese","Weekday",308,12.95,NA,28,28
"Blue Ribbon Sushi Bar & Grill","Japanese","Weekday",309,19.35,5,23,28
"Blue Ribbon Sushi Bar & Grill","Japanese","Weekday",310,13.05,5,22,28
"Blue Ribbon Sushi Bar & Grill","Japanese","Weekday",311,4.9,4,29,32
"Blue Ribbon Sushi Bar & Grill","Japanese","Weekday",312,5.72,5,32,26
"Blue Ribbon Sushi Bar & Grill","Japanese","Weekday",313,11.69,5,21,28
"Blue Ribbon Sushi Bar & Grill","Japanese","Weekday",314,15.81,NA,21,29
"Blue Ribbon Sushi Bar & Grill","Japanese","Weekday",315,29.25,NA,25,29
"Blue Ribbon Sushi Bar & Grill","Japanese","Weekend",316,24.25,5,25,26
"Blue Ribbon Sushi Bar & Grill","Japanese","Weekend",317,15.81,NA,21,25
"Blue Ribbon Sushi Bar & Grill","Japanese","Weekend",318,15.33,5,32,29
"Blue Ribbon Sushi Bar & Grill","Japanese","Weekend",319,12.37,NA,21,16
"Blue Ribbon Sushi Bar & Grill","Japanese","Weekend",320,11.88,5,25,17
"Blue Ribbon Sushi Bar & Grill","Japanese","Weekend",321,15.23,NA,30,19
"Blue Ribbon Sushi Bar & Grill","Japanese","Weekend",322,16.1,NA,27,27
"Blue Ribbon Sushi Bar & Grill","Japanese","Weekend",323,12.13,NA,21,29
"Blue Ribbon Sushi Bar & Grill","Japanese","Weekend",324,33.03,NA,33,20
"Blue Ribbon Sushi Bar & Grill","Japanese","Weekend",325,12.18,4,24,15
"Blue Ribbon Sushi Bar & Grill","Japanese","Weekend",326,10.82,NA,25,24
"Blue Ribbon Sushi Bar & Grill","Japanese","Weekend",327,9.65,NA,25,26
"Blue Ribbon Sushi Bar & Grill","Japanese","Weekend",328,22.36,4,25,18
"Blue Ribbon Sushi Bar & Grill","Japanese","Weekend",329,33.03,5,28,15
"Blue Ribbon Sushi Bar & Grill","Japanese","Weekend",330,12.18,NA,24,18
"Blue Ribbon Sushi Bar & Grill","Japanese","Weekend",331,19.4,NA,28,20
"Blue Ribbon Sushi Bar & Grill","Japanese","Weekend",332,9.12,3,27,27
"Blue Ribbon Sushi Bar & Grill","Japanese","Weekend",333,5.87,4,31,20
"Blue Ribbon Sushi Bar & Grill","Japanese","Weekend",334,15.96,5,31,20
"Blue Ribbon Sushi Bar & Grill","Japanese","Weekend",335,15.91,NA,31,16
"Blue Ribbon Sushi Bar & Grill","Japanese","Weekend",336,14.12,3,21,24
"Blue Ribbon Sushi Bar & Grill","Japanese","Weekend",337,16.74,4,22,20
"Blue Ribbon Sushi Bar & Grill","Japanese","Weekend",338,12.18,5,22,18
"Blue Ribbon Sushi Bar & Grill","Japanese","Weekend",339,14.12,NA,31,25
"Blue Ribbon Sushi Bar & Grill","Japanese","Weekend",340,19.35,NA,23,17
"Blue Ribbon Sushi Bar & Grill","Japanese","Weekend",341,4.85,5,20,21
"Blue Ribbon Sushi Bar & Grill","Japanese","Weekend",342,16.39,NA,31,18
"Blue Ribbon Sushi Bar & Grill","Japanese","Weekend",343,16.54,NA,27,17
"Blue Ribbon Sushi Bar & Grill","Japanese","Weekend",344,13.15,5,30,30
"Blue Ribbon Sushi Izakaya","Japanese","Weekday",345,16.01,5,23,27
"Blue Ribbon Sushi Izakaya","Japanese","Weekday",346,8.83,5,34,27
"Blue Ribbon Sushi Izakaya","Japanese","Weekday",347,19.45,5,33,32
"Blue Ribbon Sushi Izakaya","Japanese","Weekday",348,12.23,NA,26,26
"Blue Ribbon Sushi Izakaya","Japanese","Weekday",349,29.05,4,28,25
"Blue Ribbon Sushi Izakaya","Japanese","Weekday",350,13.1,5,24,28
"Blue Ribbon Sushi Izakaya","Japanese","Weekday",351,12.13,5,30,29
"Blue Ribbon Sushi Izakaya","Japanese","Weekday",352,14.07,4,24,26
"Blue Ribbon Sushi Izakaya","Japanese","Weekend",353,12.08,3,35,15
"Blue Ribbon Sushi Izakaya","Japanese","Weekend",354,15.76,4,33,23
"Blue Ribbon Sushi Izakaya","Japanese","Weekend",355,8.93,5,28,18
"Blue Ribbon Sushi Izakaya","Japanese","Weekend",356,12.23,NA,21,23
"Blue Ribbon Sushi Izakaya","Japanese","Weekend",357,32.93,4,21,19
"Blue Ribbon Sushi Izakaya","Japanese","Weekend",358,9.51,NA,35,21
"Blue Ribbon Sushi Izakaya","Japanese","Weekend",359,18.24,5,32,22
"Blue Ribbon Sushi Izakaya","Japanese","Weekend",360,29.1,NA,32,26
"Blue Ribbon Sushi Izakaya","Japanese","Weekend",361,9.22,NA,28,15
"Blue Ribbon Sushi Izakaya","Japanese","Weekend",362,16.1,3,20,28
"Blue Ribbon Sushi Izakaya","Japanese","Weekend",363,12.23,NA,33,23
"Blue Ribbon Sushi Izakaya","Japanese","Weekend",364,24.25,5,33,21
"Blue Ribbon Sushi Izakaya","Japanese","Weekend",365,33.03,3,34,23
"Blue Ribbon Sushi Izakaya","Japanese","Weekend",366,33.03,NA,21,22
"Blue Ribbon Sushi Izakaya","Japanese","Weekend",367,12.23,3,34,25
"Blue Ribbon Sushi Izakaya","Japanese","Weekend",368,16.44,NA,32,23
"Blue Ribbon Sushi Izakaya","Japanese","Weekend",369,14.41,5,22,20
"Blue Ribbon Sushi Izakaya","Japanese","Weekend",370,6.79,5,32,30
"Blue Ribbon Sushi Izakaya","Japanese","Weekend",371,21.93,NA,35,26
"Blue Ribbon Sushi Izakaya","Japanese","Weekend",372,12.08,NA,25,23
"Blue Ribbon Sushi Izakaya","Japanese","Weekend",373,9.7,NA,25,15
"Boqueria","Spanish","Weekday",374,12.13,NA,33,28
"Boqueria","Spanish","Weekend",375,14.5,NA,35,29
"Boqueria","Spanish","Weekend",376,24.25,NA,28,18
"Boqueria","Spanish","Weekend",377,13,5,26,24
"Boqueria","Spanish","Weekend",378,29.1,NA,28,19
"Boqueria","Spanish","Weekend",379,12.13,5,30,20
"Boqueria","Spanish","Weekend",380,12.66,NA,27,30
"Boqueria","Spanish","Weekend",381,29.05,4,24,24
"Boqueria","Spanish","Weekend",382,22.85,5,28,30
"Bubby's ","American","Weekday",383,12.18,4,28,31
"Bubby's ","American","Weekend",384,22.75,5,32,16
"Bubby's ","American","Weekend",385,24.25,NA,34,28
"Burger Joint","American","Weekday",388,12.13,5,31,33
"Burger Joint","American","Weekday",389,9.02,5,24,29
"Burger Joint","American","Weekday",390,12.23,NA,21,27
"Burger Joint","American","Weekend",391,16.15,NA,31,15
"Burger Joint","American","Weekend",392,12.18,4,35,15
"Burger Joint","American","Weekend",393,13.1,NA,22,18
"Burger Joint","American","Weekend",394,15.72,4,31,30
"Burger Joint","American","Weekend",395,14.16,4,28,28
"Burger Joint","American","Weekend",396,8.35,4,28,17
"Burger Joint","American","Weekend",397,7.81,3,33,24
"Burger Joint","American","Weekend",398,21.88,5,26,24
"Burger Joint","American","Weekend",399,11.98,NA,20,17
"Cafe Habana","Mexican","Weekday",402,8.73,3,27,28
"Cafe Habana","Mexican","Weekday",403,6.79,NA,33,25
"Cafe Habana","Mexican","Weekday",404,12.23,5,23,28
"Cafe Habana","Mexican","Weekday",405,25.22,NA,32,28
"Cafe Habana","Mexican","Weekday",406,13.97,3,34,28
"Cafe Habana","Mexican","Weekday",407,6.69,5,26,31
"Cafe Habana","Mexican","Weekday",408,16.98,4,23,30
